Interval,FFTbins,e_l,n_l,f_l,del_l
1,1,1,1,2.1,2.1
2,2,2,1,4.3,2.1
3,3,3,1,6.4,2.1
4,4,4,1,8.5,2.1
5,5,5,1,10.7,2.1
6,6,6,1,12.8,2.1
7,7,7,1,15,2.1
8,8,8,1,17.1,2.1
9,9,9,1,19.2,2.1
10,10,10,1,21.4,2.1
11,11,11,1,23.5,2.1
12,12,12,1,25.6,2.1
13,13,13,1,27.8,2.1
14,14,15,2,31,4.3
15,16,17,2,35.2,4.3
16,18,19,2,39.5,4.3
17,20,21,2,43.8,4.3
18,22,24,3,49.1,6.4
19,25,27,3,55.5,6.4
20,28,31,4,62.9,8.5
21,32,35,4,71.5,8.5
22,36,39,4,80,8.5
23,40,44,5,89.6,10.7
24,45,49,5,100.3,10.7
25,50,55,6,112,12.8
26,56,62,7,125.9,15
27,63,70,8,141.9,17.1
28,71,78,8,159,17.1
29,79,88,10,178.1,21.4
30,89,98,10,199.5,21.4
31,99,111,13,223.9,27.8
32,112,124,13,251.7,27.8
33,125,139,15,281.6,32
34,140,156,17,315.7,36.3
35,157,175,19,354.1,40.6
36,176,197,22,397.8,47
37,198,221,24,446.9,51.3
38,222,248,27,501.2,57.7
39,249,278,30,562,64.1
40,279,312,34,630.3,72.6
41,313,351,39,708.1,83.3
42,352,393,42,794.5,89.7
43,394,441,48,890.5,102.5
44,442,495,54,999.2,115.4
45,496,556,61,1121.8,130.3
46,557,624,68,1259.4,145.3
47,625,700,76,1413,162.4
48,701,785,85,1584.7,181.6
49,786,881,96,1777.7,205.1
50,882,989,108,1995.2,230.7
51,990,1110,121,2239.4,258.5
52,1111,1245,135,2512.4,288.4
53,1246,1397,152,2818.4,324.7
54,1398,1568,171,3162.8,365.3
55,1569,1759,191,3548.9,408
56,1760,1974,215,3981.8,459.3
57,1975,2214,240,4467,512.7
58,2215,2485,271,5011.9,578.9
59,2486,2788,303,5624,647.3
60,2789,3128,340,6309.7,726.3
61,3129,3510,382,7079.5,816
62,3511,3938,428,7943.3,914.3
63,3939,4419,481,8912.6,1027.5
64,4420,4958,539,10000.3,1151.4
65,4959,5600,642,11257.4,1371.5
